ridge_PTM,ridge_IPTM,rf_PTM,rf_IPTM,mlp_PTM,mlp_IPTM
0.7234246,0.14736313,0.7186666666666668,0.1474665476190474,0.7274945,0.20152342
0.7423506,0.24476105,0.7308633333333328,0.1946400000000002,0.743034,0.22352707
0.6901476,0.571712,0.6783200000000005,0.5484700000000012,0.7034064,0.6675355
0.7034868,0.6665494,0.6929999999999992,0.627000000000001,0.7063234,0.6720044
0.7058029,0.6531194,0.7109999999999986,0.6850000000000018,0.7105853,0.69667363
0.74172735,0.2572585,0.7404075384615381,0.247921369047619,0.7375852,0.23520868
0.6822541,0.5631843,0.6837799999999997,0.6528200000000001,0.687115,0.5684592
0.72684324,0.20324945,0.7333503571428576,0.2301436666666671,0.7318266,0.2062555
0.7375486,0.21919179,0.7475510476190479,0.2728253095238096,0.7388941,0.26887769
0.71865827,0.6910781,0.7280000000000004,0.719999999999999,0.7194066,0.728761
0.74316067,0.26554877,0.7394897467532465,0.2429060317460318,0.73612535,0.2327286
0.7369846,0.22549993,0.7302122222222225,0.1893699999999997,0.74819726,0.26818687
0.7097477,0.6563254,0.7160000000000022,0.6870000000000038,0.71315485,0.69279605
0.73013324,0.18561098,0.7304618333333331,0.1791204999999999,0.7284968,0.18865581
0.5719547,0.24210173,0.54106,0.1442,0.5505612,0.19547647
0.6745324,0.54617393,0.6972299999999997,0.6598500000000003,0.6663016,0.59348136
0.70552063,0.65265167,0.7123900000000001,0.6745299999999992,0.71597576,0.7036823
0.6985846,0.60645664,0.7060000000000015,0.6629999999999984,0.7048444,0.6735955
0.72992444,0.20026183,0.7334627857142857,0.2163490000000002,0.73338044,0.19453496
0.72425485,0.20993292,0.7203524999999993,0.1690100079365078,0.72947156,0.20924199
0.73151195,0.2222749,0.7373429999999997,0.2170174999999997,0.73542935,0.22402114
0.7248074,0.16994286,0.732057333333333,0.1841423333333333,0.73275536,0.19400454
0.72603685,0.19124457,0.7183775000000001,0.1715016666666665,0.730175,0.1945172
0.7383903,0.23248687,0.7284000000000002,0.1733363809523809,0.742584,0.22201678
0.6791198,0.597614,0.690910000000001,0.6737400000000007,0.6774851,0.7052625
0.7065426,0.6655283,0.7090000000000016,0.6520000000000006,0.7107169,0.67272866
0.7224004,0.1895312,0.7020538888888889,0.1231139523809523,0.7259301,0.1987656
0.74015945,0.23897591,0.7296599999999995,0.203004,0.7385347,0.20938826
0.73759997,0.24057436,0.7312122222222226,0.2373133333333329,0.7409522,0.2259366
0.7339499,0.21404824,0.7312133333333328,0.1981385714285715,0.7419187,0.2241487
0.72557986,0.16739959,0.7321043333333327,0.2028139999999999,0.736869,0.21260047
0.72638345,0.16842946,0.7301529999999998,0.1913520000000001,0.7385466,0.19453862
0.6974945,0.64349675,0.7019999999999985,0.6559999999999995,0.7007081,0.67218584
0.74206066,0.23949462,0.7334116666666666,0.1988642619047618,0.7298649,0.19327383
0.72006005,0.15968025,0.7257776111111112,0.2021295833333331,0.72855985,0.18505171
0.6974945,0.64349675,0.7019999999999985,0.6559999999999995,0.7007081,0.67218584
0.7107184,0.122696936,0.7174345000000012,0.1419820238095237,0.72402906,0.16160092
0.7311364,0.18570477,0.7255404999999996,0.1533414285714285,0.7295673,0.21438055
0.73215926,0.20070428,0.7292460476190472,0.1824066666666667,0.7372689,0.19831195
0.7097477,0.6563254,0.7160000000000022,0.6870000000000038,0.71315485,0.69279605
0.72753125,0.18521509,0.7326635952380951,0.2076403452380952,0.73272264,0.17705157
0.74223197,0.24742413,0.7408673333333333,0.2493863333333333,0.7396041,0.21469387
0.73689383,0.21517944,0.7344791666666662,0.1997105,0.7414832,0.23725682
0.7368681,0.22117138,0.7344383333333329,0.1985146666666666,0.7381563,0.20861298
0.6996051,0.6510993,0.7030200000000013,0.6490000000000008,0.7003027,0.6794896
0.6921516,0.5682583,0.6836300000000005,0.5038899999999997,0.694855,0.57307935
0.7224847,0.15605003,0.7209549999999995,0.1541088333333332,0.7260512,0.18313774
0.7248275,0.17882454,0.7295034047619049,0.1945964285714285,0.726022,0.18784936
0.69156057,0.6330743,0.6845100000000002,0.6207200000000009,0.6950661,0.66396785
0.7308959,0.19196966,0.7384804285714285,0.2317985714285713,0.73690414,0.19209582
0.6997645,0.61809987,0.6989999999999994,0.6670000000000011,0.70386755,0.66838515
0.72481287,0.17898774,0.7111019999999988,0.1266524999999998,0.72842985,0.18735369
0.6559736,0.2135278,0.6713,0.2355249999999998,0.6708284,0.23526658
0.73169875,0.2238121,0.7337289523809521,0.2185763333333333,0.7347129,0.22399487
0.74202913,0.23595947,0.7324365,0.2016238888888887,0.7396947,0.2251344
0.7029356,0.6451264,0.7029999999999975,0.6440000000000039,0.70833373,0.6949933
0.7062957,0.662842,0.7120000000000017,0.6790000000000007,0.7053588,0.6608403
0.7130776,0.66598475,0.718999999999999,0.6800000000000016,0.7178915,0.6967228
0.73295885,0.26217616,0.740583333333333,0.3005408333333337,0.7348397,0.29299003
0.6819801,0.5870902,0.6739999999999999,0.5540000000000005,0.678565,0.5773664
0.67568666,0.5519199,0.6387999999999997,0.3173399999999995,0.6904022,0.6297654
0.70227194,0.61953485,0.6090000000000013,0.179,0.7040242,0.65517277
0.74125683,0.22436267,0.7390912499999996,0.19904,0.7404561,0.22124043
0.74686855,0.28319198,0.7324400000000001,0.1860099999999998,0.74486285,0.2871319
0.70791817,0.66315967,0.7120000000000019,0.6870000000000005,0.7082808,0.66585344
0.7127253,0.14504063,0.7309199999999995,0.2232800000000001,0.72087234,0.17562121
0.701706,0.68642837,0.6951199999999993,0.6689999999999986,0.70678955,0.6961718
0.7399607,0.23066145,0.7443999999999998,0.2354649999999998,0.74515796,0.26604825
